»’∆⁄,÷ ¡øµ»º∂,AQI÷∏ ˝,µ±ÃÏAQI≈≈√˚,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,«·∂»Œ€»æ,108,37,81,134,25,61,0.87,54
2013-10-29,«·∂»Œ€»æ,116,56,87,154,28,74,0.93,54
2013-10-30,¡º,90,51,65,96,19,49,0.73,51
2013-10-31,¡º,72,39,52,73,14,39,0.59,58
2013-11-01,¡º,68,34,48,75,20,43,0.61,57
2013-11-02,«·∂»Œ€»æ,112,61,84,129,23,57,0.88,32
2013-11-03,«·∂»Œ€»æ,118,63,89,116,17,52,1.21,25
2013-11-04,«·∂»Œ€»æ,118,77,88,123,29,49,1.27,57
2013-11-05,¡º,93,50,69,108,25,63,0.85,40
2013-11-06,«·∂»Œ€»æ,112,53,92,153,24,69,1.05,43
2013-11-07,«·∂»Œ€»æ,146,87,130,203,37,82,0.85,50
2013-11-08,÷–∂»Œ€»æ,172,98,127,199,32,84,1.16,54
2013-11-09,÷–∂»Œ€»æ,153,85,100,168,23,79,1.27,39
2013-11-10,«·∂»Œ€»æ,120,80,74,98,20,52,1.04,27
2013-11-11,¡º,65,64,54,91,36,51,0.93,37
2013-11-12,¡º,78,67,52,62,20,62,0.94,20
2013-11-13,¡º,69,46,50,77,22,64,0.91,17
2013-11-14,¡º,81,48,69,108,19,55,1.14,12
2013-11-15,¡º,96,47,79,166,23,55,1.23,26
2013-11-16,«·∂»Œ€»æ,127,54,90,181,20,54,1.13,33
2013-11-17,«·∂»Œ€»æ,120,79,64,187,25,43,0.70,35
2013-11-18,¡º,99,73,67,136,35,61,0.97,22
2013-11-19,«·∂»Œ€»æ,108,72,101,173,47,82,1.33,22
2013-11-20,«·∂»Œ€»æ,133,68,106,175,41,86,1.28,31
2013-11-21,÷–∂»Œ€»æ,152,71,136,228,43,97,1.45,28
2013-11-22,÷ÿ∂»Œ€»æ,209,84,201,273,36,101,1.64,28
2013-11-23,÷ÿ∂»Œ€»æ,243,87,178,241,28,85,1.48,31
2013-11-24,÷–∂»Œ€»æ,160,70,80,106,21,54,1.33,18
2013-11-25,¡º,78,49,39,139,16,35,0.79,38
2013-11-26,«·∂»Œ€»æ,117,91,74,206,24,64,0.99,19
2013-11-27,«·∂»Œ€»æ,129,101,75,166,33,56,1.09,22
2013-11-28,¡º,79,83,36,77,29,39,0.78,34
2013-11-29,¡º,63,39,37,86,24,45,0.92,32
2013-11-30,¡º,78,43,64,133,29,63,1.21,23
2013-12-01,¡º,99,50,89,155,43,64,1.31,28
2013-12-02,«·∂»Œ€»æ,141,59,112,194,48,80,1.50,25
2013-12-03,«·∂»Œ€»æ,139,50,117,197,41,94,1.36,25
2013-12-04,÷ÿ∂»Œ€»æ,209,73,226,312,56,108,2.05,27
2013-12-05,—œ÷ÿŒ€»æ,278,89,249,307,39,103,2.11,26
2013-12-06,—œ÷ÿŒ€»æ,268,97,275,354,53,96,2.11,30
2013-12-07,—œ÷ÿŒ€»æ,361,102,369,438,68,110,2.36,26
2013-12-08,—œ÷ÿŒ€»æ,395,105,323,391,35,102,2.34,20
2013-12-09,—œ÷ÿŒ€»æ,326,107,195,230,34,70,2.04,23
