日期,AQI指数
,
2013/10/28,162
,
2013/10/29,193
,
2013/10/30,210
,
2013/10/31,136
,
2013/11/1,119
,
2013/11/2,92
,
2013/11/3,70
,
2013/11/4,115
,
2013/11/5,144
,
2013/11/6,150
,
2013/11/7,186
,
2013/11/8,189
,
2013/11/9,179
,
2013/11/10,128
,
2013/11/11,61
,
2013/11/12,57
,
2013/11/13,54
,
2013/11/14,63
,
2013/11/15,62
,
2013/11/16,100
,
2013/11/17,117
,
2013/11/18,104
,
2013/11/19,96
,
2013/11/20,111
,
2013/11/21,111
,
2013/11/22,141
,
2013/11/23,198
,
2013/11/24,163
,
2013/11/25,56
,
2013/11/26,74
,
2013/11/27,80
,
2013/11/28,67
,
2013/11/29,59
,
2013/11/30,76
,
2013/12/1,103
,
2013/12/2,121
,
2013/12/3,146
,
2013/12/4,120
,
2013/12/5,210
,
2013/12/6,220
,
2013/12/7,258
,
2013/12/8,292
,
2013/12/9,218
,
2013/12/10,129
,
2013/12/11,118
,
2013/12/12,99
,
2013/12/13,117
,
2013/12/14,136
,
2013/12/15,159
,
2013/12/16,118
,
2013/12/17,27
,
2013/12/18,30
,
2013/12/19,76
,
2013/12/20,155
,
2013/12/21,160
,
2013/12/22,96
,
2013/12/23,92
,
2013/12/24,93
,
2013/12/25,134
,
2013/12/26,158
,
2013/12/27,128
,
2013/12/28,63
,
2013/12/29,84
,
2013/12/30,108
,
2013/12/31,133
,
2014/1/1,145
,
2014/1/2,171
,
2014/1/3,138
,
2014/1/4,95
,
2014/1/5,133
,
2014/1/6,139
,
2014/1/7,127
,
2014/1/8,111
,
2014/1/9,101
,
2014/1/10,69
,
2014/1/11,41
,
2014/1/12,55
,
2014/1/13,107
,
2014/1/14,159
,
2014/1/15,116
,
2014/1/16,108
,
2014/1/17,101
,
2014/1/18,152
,
2014/1/19,193
,
2014/1/20,125
,
2014/1/21,76
,
2014/1/22,75
,
2014/1/24,115
,
2014/1/25,187
,
2014/1/26,199
,
2014/1/27,132
,
2014/1/28,157
,
2014/1/29,177
,
2014/1/30,243
,
2014/1/31,324
,
2014/2/1,78
,
2014/2/2,97
,
2014/2/3,113
,
2014/2/4,58
,
2014/2/5,35
,
2014/2/6,11
,
2014/2/7,11
,
2014/2/8,39
,
2014/2/9,70
,
2014/2/10,47
,
2014/2/11,52
,
2014/2/12,66
,
2014/2/13,46
,
2014/2/14,58
,
2014/2/15,67
,
2014/2/16,36
,
2014/2/17,34
,
2014/2/18,16
,
2014/2/19,34
,
2014/2/20,55
,
2014/2/21,70
,
2014/2/22,66
,
2014/2/23,91
,
2014/2/24,80
,
2014/2/25,27
,
2014/2/26,44
,
2014/2/27,57
,
2014/2/28,23
,
2014/3/1,17
,
2014/3/2,50
,
2014/3/3,50
,
2014/3/4,40
,
2014/3/5,61
,
2014/3/6,45
,
2014/3/7,26
,
2014/3/8,35
,
2014/3/9,58
,
2014/3/10,77
,
2014/3/11,84
,
2014/3/12,38
,
2014/3/13,83
,
2014/3/14,82
,
2014/3/15,83
,
