»’∆⁄,÷ ¡øµ»º∂,AQI÷∏ ˝,µ±ÃÏAQI≈≈√˚,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,÷–∂»Œ€»æ,162,70,123,217,50,79,1.54,45
2013-10-29,÷–∂»Œ€»æ,193,85,148,242,53,76,1.48,61
2013-10-30,÷ÿ∂»Œ€»æ,210,110,162,231,73,58,1.44,48
2013-10-31,«·∂»Œ€»æ,136,83,104,134,34,38,1.01,48
2013-11-01,«·∂»Œ€»æ,119,70,90,125,40,38,1.07,41
2013-11-02,¡º,92,38,68,98,36,38,1.07,36
2013-11-03,¡º,70,21,50,74,32,34,1.20,33
2013-11-04,«·∂»Œ€»æ,115,74,87,127,47,34,1.27,64
2013-11-05,«·∂»Œ€»æ,144,100,110,161,46,51,1.26,67
2013-11-06,«·∂»Œ€»æ,150,78,123,190,57,60,1.38,69
2013-11-07,÷–∂»Œ€»æ,186,107,138,208,56,61,1.09,65
2013-11-08,÷–∂»Œ€»æ,189,104,143,216,48,79,1.72,60
2013-11-09,÷–∂»Œ€»æ,179,95,115,173,45,63,1.68,46
2013-11-10,«·∂»Œ€»æ,128,83,75,117,40,36,1.45,33
2013-11-11,¡º,61,54,37,41,24,34,1.08,18
2013-11-12,¡º,57,38,33,36,23,35,1.04,21
2013-11-13,¡º,54,36,49,65,31,40,1.04,12
2013-11-14,¡º,63,35,35,46,27,37,1.18,15
2013-11-15,¡º,62,25,53,106,32,43,1.21,29
2013-11-16,¡º,100,31,91,171,55,63,1.43,28
2013-11-17,«·∂»Œ€»æ,117,73,68,164,36,53,1.06,35
2013-11-18,«·∂»Œ€»æ,104,83,57,142,47,59,0.88,34
2013-11-19,¡º,96,60,71,148,55,68,1.18,32
2013-11-20,«·∂»Œ€»æ,111,46,85,170,37,71,1.38,32
2013-11-21,«·∂»Œ€»æ,111,41,93,165,45,65,1.26,36
2013-11-22,«·∂»Œ€»æ,141,64,125,184,71,65,1.37,49
2013-11-23,÷–∂»Œ€»æ,198,71,159,236,69,73,1.82,50
2013-11-24,÷–∂»Œ€»æ,163,71,70,87,21,36,1.22,24
2013-11-25,¡º,56,10,31,71,45,34,0.98,27
2013-11-26,¡º,74,45,44,113,38,42,1.04,31
2013-11-27,¡º,80,47,39,104,40,36,0.78,26
2013-11-28,¡º,67,57,33,67,36,36,0.69,27
2013-11-29,¡º,59,32,39,82,43,46,0.74,28
2013-11-30,¡º,76,41,64,130,80,63,1.03,24
2013-12-01,«·∂»Œ€»æ,103,55,80,147,58,63,1.16,30
2013-12-02,«·∂»Œ€»æ,121,49,105,184,89,78,1.51,30
2013-12-03,«·∂»Œ€»æ,146,54,106,190,54,81,1.70,27
