»’∆⁄,÷ ¡øµ»º∂,AQI÷∏ ˝,µ±ÃÏAQI≈≈√˚,PM2.5,PM10,So2,No2,Co,O3
2013-10-28,÷–∂»Œ€»æ,183,80,140,220,88,109,2.02,63
2013-10-29,÷ÿ∂»Œ€»æ,240,100,190,297,74,122,2.06,48
2013-10-30,—œ÷ÿŒ€»æ,325,112,281,286,36,58,2.01,50
2013-10-31,«·∂»Œ€»æ,133,79,100,82,26,45,1.26,28
2013-11-01,¡º,61,22,42,47,24,36,1.31,11
2013-11-02,¡º,55,16,37,34,20,33,1.15,16
2013-11-03,¡º,75,27,55,68,28,40,1.16,56
2013-11-04,«·∂»Œ€»æ,130,92,98,127,47,65,1.64,68
2013-11-05,÷–∂»Œ€»æ,161,107,122,164,52,91,1.60,50
2013-11-06,«·∂»Œ€»æ,139,71,104,145,39,75,1.21,49
2013-11-07,÷–∂»Œ€»æ,157,91,115,175,47,88,1.29,45
2013-11-08,÷–∂»Œ€»æ,155,90,143,230,86,94,1.81,57
2013-11-09,÷ÿ∂»Œ€»æ,233,111,190,237,42,62,1.92,35
2013-11-10,÷–∂»Œ€»æ,155,96,60,38,34,38,1.38,33
2013-11-11,¡º,85,94,80,84,31,40,1.20,40
2013-11-12,«·∂»Œ€»æ,113,99,72,70,33,47,1.16,26
2013-11-13,¡º,97,71,87,111,42,55,1.27,22
2013-11-14,«·∂»Œ€»æ,112,69,74,111,37,50,1.05,42
2013-11-15,«·∂»Œ€»æ,115,54,96,190,42,81,1.34,37
2013-11-16,«·∂»Œ€»æ,144,65,112,241,46,96,1.57,40
2013-11-17,«·∂»Œ€»æ,130,90,66,203,52,77,1.30,36
2013-11-18,«·∂»Œ€»æ,111,92,69,159,57,80,1.29,35
2013-11-19,«·∂»Œ€»æ,123,89,98,190,84,97,1.63,31
2013-11-20,«·∂»Œ€»æ,136,71,116,245,106,117,1.92,27
2013-11-21,÷–∂»Œ€»æ,187,87,178,262,75,101,1.91,39
2013-11-22,—œ÷ÿŒ€»æ,299,107,298,355,60,87,2.17,42
2013-11-23,—œ÷ÿŒ€»æ,342,103,295,364,51,90,2.39,14
2013-11-24,÷ÿ∂»Œ€»æ,238,95,78,81,31,40,1.21,35
2013-11-25,¡º,83,56,55,127,43,68,1.21,28
2013-11-26,«·∂»Œ€»æ,104,81,88,189,82,84,1.75,16
2013-11-27,«·∂»Œ€»æ,113,89,65,130,51,56,1.03,28
2013-11-28,¡º,75,75,46,88,45,58,0.84,31
2013-11-29,¡º,71,54,54,111,53,66,1.05,34
2013-11-30,«·∂»Œ€»æ,106,75,105,185,67,96,1.69,21
2013-12-01,÷–∂»Œ€»æ,165,98,131,207,71,104,1.86,19
2013-12-02,÷–∂»Œ€»æ,173,74,127,206,83,101,1.95,29
2013-12-03,÷–∂»Œ€»æ,185,65,169,228,99,103,1.96,26
2013-12-04,—œ÷ÿŒ€»æ,276,86,279,339,108,128,2.60,28
2013-12-05,—œ÷ÿŒ€»æ,335,100,253,302,112,117,2.50,24
2013-12-06,—œ÷ÿŒ€»æ,266,96,237,289,97,116,2.58,37
2013-12-07,—œ÷ÿŒ€»æ,337,98,298,374,89,132,3.12,33
2013-12-08,—œ÷ÿŒ€»æ,353,101,258,306,92,104,2.54,34
2013-12-09,÷ÿ∂»Œ€»æ,238,83,111,146,74,58,1.58,37
2013-12-10,÷–∂»Œ€»æ,169,100,140,175,77,83,1.81,26
2013-12-11,÷–∂»Œ€»æ,161,98,111,163,79,78,1.56,22
2013-12-12,÷–∂»Œ€»æ,168,113,149,230,96,99,1.97,16
2013-12-13,÷ÿ∂»Œ€»æ,230,111,191,274,78,113,2.19,23
2013-12-14,÷ÿ∂»Œ€»æ,221,105,170,233,85,116,1.89,21
2013-12-15,÷ÿ∂»Œ€»æ,231,90,188,216,71,82,1.57,40
2013-12-16,÷ÿ∂»Œ€»æ,249,102,175,166,50,65,1.50,28
2013-12-17,«·∂»Œ€»æ,135,77,56,44,34,43,1.01,26
2013-12-18,«·∂»Œ€»æ,145,86,200,208,29,64,1.74,25
2013-12-19,—œ÷ÿŒ€»æ,282,107,249,285,95,98,2.58,10
2013-12-20,—œ÷ÿŒ€»æ,309,104,254,239,94,81,2.27,42
2013-12-21,—œ÷ÿŒ€»æ,290,103,208,172,75,71,1.84,33
2013-12-22,÷ÿ∂»Œ€»æ,235,94,185,215,92,89,1.89,21
2013-12-23,÷ÿ∂»Œ€»æ,240,88,190,238,94,105,2.33,16
2013-12-24,÷ÿ∂»Œ€»æ,210,67,147,186,64,95,2.01,21
2013-12-25,÷ÿ∂»Œ€»æ,224,66,195,229,76,109,2.00,23
2013-12-26,÷ÿ∂»Œ€»æ,241,72,186,223,73,79,1.74,31
2013-12-27,÷–∂»Œ€»æ,164,95,68,101,44,52,0.99,31
2013-12-28,«·∂»Œ€»æ,114,67,110,149,64,82,1.49,30
2013-12-29,÷–∂»Œ€»æ,167,101,135,176,68,90,1.69,25
2013-12-30,÷–∂»Œ€»æ,192,110,154,204,61,104,1.69,30
2013-12-31,÷ÿ∂»Œ€»æ,210,182,164,212,62,100,1.75,32
2014-01-01,÷ÿ∂»Œ€»æ,208,179,150,207,69,106,2.01,28
2014-01-02,÷ÿ∂»Œ€»æ,221,179,179,252,88,110,2.37,19
2014-01-03,÷ÿ∂»Œ€»æ,217,153,174,226,63,83,1.72,30
2014-01-04,«·∂»Œ€»æ,146,117,110,181,71,86,1.60,21
2014-01-05,÷–∂»Œ€»æ,191,133,146,211,88,91,2.15,27
2014-01-06,÷ÿ∂»Œ€»æ,238,156,192,236,77,87,2.07,20
2014-01-07,—œ÷ÿŒ€»æ,317,182,267,139,28,63,2.32,12
2014-01-08,÷ÿ∂»Œ€»æ,249,190,199,74,60,61,2.10,29
2014-01-09,—œ÷ÿŒ€»æ,258,189,208,168,78,76,2.48,23
2014-01-10,÷–∂»Œ€»æ,167,148,128,122,63,66,1.73,21
2014-01-11,«·∂»Œ€»æ,120,100,91,73,32,53,1.33,25
2014-01-12,÷ÿ∂»Œ€»æ,205,178,160,181,63,68,1.68,22
2014-01-13,—œ÷ÿŒ€»æ,316,189,265,288,75,87,2.36,21
